Les Halles, 00h-23h, public transport, 20 min 
13.476
4.011
5.411
4.016
3.365
31.087
46.572
59.259
54.616
48.321
49.334
50.104
49.226
48.625
48.718
47.059
49.826
54.769
54.531
49.341
50.622
48.546
44.926
43.279
