afternoon(18);
0.024
0.075
0.135
0.218
0.275
0.334
0.423
0.605
0.935
1.387
1.729
2.163
2.831
3.473
4.224
4.887
5.781
6.721
7.78
8.959
10.006
11.26
12.649
14.03
15.893
17.955
20.701
24.351
27.65
32.527
38.058
46.67
55.266
66.828
81.448
97.801
114.575
134.111
158.977
181.071
219.347
245.468
274.994
314.279
350.72
388.232
428.736
471.527
520.041
577.327
641.967
706.013
785.826
854.787
946.766
1059.352
