morning(9);
0.18
0.268
0.449
0.679
0.97
1.335
1.821
2.591
3.314
4.29
5.277
6.592
7.948
9.422
10.881
12.575
14.66
16.998
19.946
22.783
26.3
30.739
34.952
40.442
47.808
57.518
67.895
81.792
97.533
113.731
133.38
154.601
179.062
205.49
242.377
271.64
304.633
344.921
379.899
421.032
464.587
511.053
565.052
630.138
697.623
772.813
854.605
953.636
1041.141
1129.543
1252.344
1362.099
1486.423
1605.088
1716.966
1894.022
