morning(6);
0.176
0.262
0.403
0.665
0.955
1.289
1.756
2.554
3.275
4.227
5.213
6.513
7.791
9.301
10.79
12.431
14.476
16.812
19.702
22.603
26.112
30.447
34.66
40.084
47.345
56.936
67.086
80.965
96.164
112.728
132.085
153.276
177.303
203.401
240.724
269.487
302.638
340.991
377.12
418.644
460.256
507.434
561.208
625.964
693.393
767.166
850.773
926.547
1035.529
1123.639
1246.981
1352.784
1478.44
1596.225
1710.335
1886.677
