morning(7);
0.123
0.174
0.236
0.312
0.474
0.635
0.803
1.036
1.327
1.623
2.106
2.68
3.239
3.911
4.631
5.42
6.341
7.326
8.334
9.43
10.548
11.683
12.943
14.59
16.18
18.26
20.525
22.517
25.058
27.811
30.89
33.738
37.126
41.515
47.266
54.482
60.784
68.588
78.22
89.07
101.313
113.119
127.008
140.472
157.437
175.042
192.621
223.867
243.425
264.282
289.219
318.15
342.038
368.07
397.307
426.304
