afternoon(15);
0.173
0.255
0.395
0.651
0.935
1.26
1.708
2.299
3.216
4.125
5.139
6.389
7.7
9.111
10.654
12.316
14.311
16.608
19.375
22.471
25.871
30.152
34.337
39.466
46.594
56.207
66.162
79.208
94.964
111.611
130.176
151.82
175.232
201.126
238.503
266.174
299.996
338.494
374.525
415.183
458.138
503.062
556.304
620.579
688.49
761.776
845.569
919.64
1025.855
1115.285
1238.26
1343.29
1469.7
1588.896
1701.579
1873.912
