Driving;
0.112
0.215
0.335
0.524
0.732
0.932
1.28
1.599
2.059
2.541
3.142
3.96
4.584
5.299
6.167
7.152
8.031
9.217
10.379
11.857
13.454
14.971
16.599
18.392
20.412
22.964
25.302
27.56
31.008
33.989
37.676
42.061
46.396
52.894
59.264
66.144
74.94
85.77
97.175
108.605
121.166
136.433
151.291
171.77
192.93
214.406
246.849
267.91
291.645
315.972
345.073
371.012
399.734
430.078
464.393
504.593
