Transit;
0.212
0.334
0.446
0.601
0.86
1.161
1.624
2.392
3.37
4.942
6.885
8.972
12.307
15.95
19.587
24.315
31.299
39.252
45.574
54.67
64.508
71.725
80.976
92.076
104.71
119.281
132.699
147.648
165.005
181.852
200.955
223.694
247.204
273.082
307.733
343.188
373.519
407.796
444.643
478.399
524.265
560.227
605.477
645.963
686.285
727.474
773.944
815.347
866.757
911.226
973.177
1024.029
1083.089
1141.462
1192.073
1251.68
