afternoon(19);
0.153
0.243
0.356
0.62
0.866
1.216
1.651
2.214
3.101
3.991
4.965
6.23
7.51
8.859
10.451
12.069
13.908
16.145
18.943
22.086
25.379
29.281
33.343
38.527
45.326
54.922
64.407
76.812
91.472
108.656
126.795
146.839
171.78
195.346
234.241
261.377
294.496
332.908
368.839
408.976
449.909
494.911
546.833
609.966
679.012
751.258
834.119
909.845
1012.753
1099.748
1222.07
1327.129
1441.903
1571.098
1684.151
1851.884
