afternoon(17);
0.12
0.159
0.23
0.303
0.452
0.623
0.79
1.024
1.31
1.604
2.081
2.648
3.185
3.864
4.591
5.302
6.294
7.268
8.262
9.329
10.487
11.579
12.812
14.431
16.049
18.097
20.286
22.343
24.828
27.376
30.663
33.508
36.857
41.202
46.717
53.976
60.348
67.933
77.534
88.186
100.182
112.191
125.713
139.546
155.786
173.804
191.221
222.48
241.435
262.693
286.37
316.546
340.438
365.817
393.638
424.038
