afternoon(16);
0.024
0.08
0.138
0.222
0.277
0.346
0.428
0.616
0.952
1.407
1.754
2.188
2.869
3.497
4.259
4.909
5.814
6.794
7.838
9
10.038
11.308
12.716
14.176
15.968
18.107
20.27
23.066
25.457
27.964
31.262
35.388
40.432
46.743
52.771
59.941
69.649
80.401
92.58
103.855
116.354
130.921
147.186
164.96
181.252
211.96
231.509
251.015
275.022
303.899
327.851
354.988
382.6
411.645
441.626
473.912
