Walking;
0.212
0.328
0.439
0.6
0.773
1.018
1.214
1.45
1.706
1.974
2.283
2.538
2.861
3.232
3.563
4.041
4.543
4.988
5.496
5.968
6.559
7.04
7.575
8.132
8.739
9.309
9.881
10.66
11.334
12.071
12.832
13.494
14.396
15.3
16.284
17.172
18.228
19.306
20.267
21.217
22.264
23.417
24.721
25.842
27.006
28.288
29.446
30.747
32.121
33.498
35.031
36.688
38.1
39.587
41.105
42.599
